benchmark_mode,objective_type,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,budget_normalization,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,n_seeds,param_grad_mean,param_grad_variance_across_seeds,param_mean_abs_grad,param_near_zero_ratio
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,1,RZ,2,5,layer_000_wire_001_RZ,3,-2.2429083835021333e-17,1.1763785711170386e-33,3.371259647191274e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,2,RX,0,6,layer_000_wire_002_RX,3,-0.18810552496357943,0.020009739033448187,0.18810552496357943,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,2,RY,1,7,layer_000_wire_002_RY,3,-0.12886781203098788,0.013149694738532537,0.12886781203098788,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,2,RZ,2,8,layer_000_wire_002_RZ,3,-9.68156582344167e-18,4.6992656023086295e-34,1.8465250458544716e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,3,RX,0,9,layer_000_wire_003_RX,3,-0.06852595551050258,0.027518759717173866,0.10397284081375906,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,3,RY,1,10,layer_000_wire_003_RY,3,0.17953205925018512,0.04721462149618594,0.22608516841326173,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,3,RZ,2,11,layer_000_wire_003_RZ,3,-4.9053802585580085e-18,1.9096684712878892e-34,9.713207207144703e-18,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,0,RX,0,0,layer_000_wire_000_RX,3,0.005584280820235181,0.00011808381200528887,0.006495505076125796,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,0,RY,1,1,layer_000_wire_000_RY,3,0.004366698809490353,1.2767063570204686e-05,0.004366698809490353,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,0,RZ,2,2,layer_000_wire_000_RZ,3,9.123058462072658e-19,8.258738722343174e-34,2.1265045444683065e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,1,RX,0,3,layer_000_wire_001_RX,3,6.3606527452482924e-18,1.307024332050296e-33,2.833381677428785e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,1,RY,1,4,layer_000_wire_001_RY,3,2.3129646346357423e-18,3.0493890786131233e-34,1.1564823173178714e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,1,RZ,2,5,layer_000_wire_001_RZ,3,8.612511911190774e-18,4.947687610917226e-34,1.9936783594587875e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,2,RX,0,6,layer_000_wire_002_RX,3,-0.18773884882368946,0.019922853458614952,0.18773884882368944,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,2,RY,1,7,layer_000_wire_002_RY,3,-0.13102350842594937,0.01421761481269991,0.13102350842594937,0.0
